feature_idx,output_score,prob,rank,steering_scale,top_token_ids,top_tokens,prompt
76227,0.8472145899936014,0.8472211956977844,1,38.4375,"[499, 584, 81096, 358, 577, 1289, 42983, 94707, 15334, 1431]","[' you', ' we', 'iglia', ' I', ' u', 'opy', ' perch', 'otch', ' YOU', '’t']","In my experience,"
80249,0.1751378881679978,0.1751406192779541,2,24.375,"[4423, 18570, 5606, 94192, 33634, 21739, 116252, 35272, 104, 41795]","[' someone', ' somebody', ' anyone', ' Somebody', ' Anyone', ' anybody', ' Kaynak', ' Someone', '�', 'Anyone']","In my experience,"
1862,0.02708751270404604,0.02708877995610237,6,36.0,"[5606, 4423, 21739, 25136, 33634, 51426, 89419, 84729, 41795, 18570]","[' anyone', ' someone', ' anybody', '679', ' Anyone', '/how', ' alguien', 'locs', 'Anyone', ' somebody']","In my experience,"
91965,0.012285554917715293,0.012285650707781315,1,243.0,"[5741, 123681, 31258, 674, 76831, 114228, 52751, 220, 114394, 106038]","['lier', 'оба', 'outil', ' #', 'inand', 'ーデ', '@student', ' ', 'κολ', ' âm']","In my experience,"
115618,0.011260737306253656,0.011261176317930222,5,19.96875,"[387, 3596, 1027, 62731, 47173, 18374, 4276, 102115, 20609, 539]","[' be', ' ever', ' been', ' быть', ' være', ' Ever', ' NOT', ' باشد', 'norm', ' not']","In my experience,"
111894,0.008876870091510005,0.008876939304172993,1,834.0,"[7051, 19929, 90578, 13851, 1981, 58204, 38241, 27083, 93638, 5636]","['irit', '369', '…\n', '::_', '…', '::.', ' aka', ' alike', ' Curso', ' plus']","In my experience,"
98395,0.00809088612302861,0.008091327734291553,7,81.75,"[1431, 956, 63441, 76641, 387, 6458, 1601, 32613, 34259, 6723]","['’t', ""'t"", 'berra', 'opies', ' be', '/w', 'ister', 'alic', 'tered', 'va']","In my experience,"
68970,0.0038732449276990713,0.003873275127261877,1,196.5,"[73921, 62102, 43556, 22471, 77436, 42086, 54908, 88136, 29233, 71667]","[')frame', ')application', 'UpInside', '/***/', '#af', '>tag', ')did', '...\n\n\n\n\n\n', '-wsj', 'MMdd']","In my experience,"
82758,0.003289855659710962,0.0032902148086577654,14,210.0,"[41077, 86449, 91136, 17996, 115348, 75960, 44062, 46249, 122443, 34304]","['alars', 'odie', 'peon', 'ento', 'podob', 'templ', 'afil', '&apos', '.Α', 'iferay']","In my experience,"
118990,0.0014657336549193016,0.0014663739129900932,56,21.9375,"[2082, 47200, 31643, 27452, 13890, 1889, 94332, 92160, 1010, 734]","[' code', '代码', '️', '例', ' equivalent', 'code', 'inne', 'Equivalent', 'ception', ' function']","In my experience,"
161,0.0006649430532010166,0.0006653684540651739,82,26.625,"[4587, 6089, 91182, 118235, 10125, 1054, 13336, 5042, 32992, 54233]","[' please', ' directly', ' imposs', ' вообще', '139', ' “', ' possibility', ' simply', ' feas', ' PLEASE']","In my experience,"
19061,0.0005954931623663779,0.0005958973779343069,87,19.875,"[6847, 47091, 126063, 100603, 32992, 30194, 38367, 21676, 126004, 126571]","[' easily', ' Easily', '์ได', 'ได', ' feas', ' anytime', 'asily', ' safely', 'ันได', ' snadno']","In my experience,"
79996,0.00010704408396054669,0.00010733028466347605,342,31.6875,"[6261, 60005, 58996, 114355, 22479, 701, 7752, 110310, 85590, 89183]","[' yourself', ' Yourself', ' yourselves', ' можете', 'your', ' your', ' guys', '你的', 'nge', ' hebt']","In my experience,"
44904,3.070178621728923e-05,3.0723105737706646e-05,89,23.71875,"[46431, 46249, 97282, 12515, 30848, 79946, 62904, 123601, 80394, 201]","['\xading', '&apos', '\xadi', '...\n', ' \u200b', ' ¶', ' �', '。本', 'afone', '\r']","In my experience,"
93827,9.78464379817571e-06,1.0547126294113696e-05,9272,19.21875,"[5681, 17197, 79636, 7662, 29233, 66030, 96173, 14602, 6757, 63193]","['�', 'ToolStripMenuItem', 'brtc', '-lg', '-wsj', 'DataGridViewTextBoxColumn', ' utrecht', 'ittest', 'rial', ' iii']","In my experience,"
114050,8.49712114588892e-06,8.96591336640995e-06,6706,16.78125,"[73463, 62619, 5879, 97282, 91374, 63102, 124211, 97308, 89052, 16067]","[' \u200b\u200b', '\ufeff\n', '\xad', '\xadi', ' gezocht', ' nackte', '给我', 'erah', 'ью', '\u200b']","In my experience,"
1,3.7855838707524735e-06,4.252266990079079e-06,14076,0.0,"[47962, 95959, 14091, 1100, 25240, 44435, 5687, 92538, 7090, 37161]","[' dissent', 'conde', ' diss', 'yp', 'ippi', 'ovel', ' staff', 'ecast', ' panel', 'brush']","In my experience,"
107804,3.4356021385311656e-06,4.2772776396304835e-06,25238,19.875,"[3516, 58640, 44058, 89569, 1520, 15574, 48506, 2968, 10012, 62998]","['lem', ' FactoryGirl', 'stown', ' FactoryBot', ' help', '257', ' Lem', 'ability', 'igure', 'quoi']","In my experience,"
63851,2.916759013747132e-06,3.115147592325229e-06,8168,14.8125,"[5380, 87527, 111972, 82028, 25188, 1980, 1981, 28413, 46249, 74630]","['?\n', ')?\n', '�n', ' Uncategorized', 'borg', '?\n\n', '…', 'onders', '&apos', ')?\n\n']","In my experience,"
657,2.8147055268333587e-06,3.2603261388430838e-06,17530,0.0,"[470, 4541, 74018, 98249, 7141, 7197, 32019, 47340, 13136, 3141]","[' com', ' necess', ' Batter', '(*)(', 'ih', 'ker', ' Sugar', ' SEEK', 'ulp', 'eb']","In my experience,"
252,2.622893607208329e-06,3.062792757191346e-06,18421,0.0,"[62536, 44785, 81707, 99155, 52171, 32941, 91538, 7758, 98249, 32280]","['nonnull', 'orgot', 'agos', ' Flesh', 'atoi', 'etur', '_fds', 'etadata', '(*)(', 'bps']","In my experience,"
610,1.73541593343744e-06,2.1381740680226358e-06,24159,0.0,"[75397, 71435, 18291, 86090, 22809, 6717, 15134, 14046, 93529, 127186]","['Charsets', 'aea', 'azi', 'datagrid', 'TM', '/lic', '311', 'tm', 'lac', '스티']","In my experience,"
36082,1.5677663199075644e-06,2.2275137325777905e-06,37987,15.9375,"[90680, 112248, 83523, 2484, 86417, 8336, 12593, 6077, 18114, 92984]","['issional', ' عد', 'ionales', 'source', 'StackNavigator', ' sources', ' comparison', 'ż', ' WHETHER', 'jabi']","In my experience,"
66823,1.4956067363660216e-06,2.1860139440832427e-06,40507,91.125,"[5380, 48469, 95532, 30, 1980, 15850, 46449, 51905, 7673, 107315]","['?\n', '?""\n', '？\n', '?', '?\n\n', '?\n\n\n\n', '?\r\n', '?)\n', '?""', '؟\n']","In my experience,"
666,9.470687939928798e-07,1.2968680493941065e-06,34594,0.0,"[84658, 80219, 127528, 4705, 63743, 61240, 87164, 63812, 68633, 86783]","['/ay', ' Rudy', ' засід', 'adata', ' injector', '.dtd', 'throat', 'Envelope', '#SBATCH', ' Clifford']","In my experience,"
406,6.530955305149069e-07,9.637506082071923e-07,41342,0.0,"[245, 109462, 26862, 107588, 42234, 2158, 3595, 97066, 68028, 61590]","['�', 'deme', 'apons', 'นวน', 'itecture', 'ftware', 'pond', 'posables', 'rette', 'argout']","In my experience,"
267,2.6207368054451944e-07,4.884050213149749e-07,59435,0.0,"[32055, 97428, 76058, 54553, 36473, 43624, 33244, 68022, 88425, 35371]","['atti', '_sibling', 'ceptar', 'acier', 'insula', 'änner', 'TAG', 'cassert', ' Chung', 'ünd']","In my experience,"
524,2.3202524260750415e-07,4.4818563083026675e-07,61858,0.0,"[34946, 49695, 54999, 6048, 72460, 59064, 116716, 28003, 4194, 116278]","['ocy', ' limbs', ' Gest', 'ober', ' Pall', 'chy', 'оруж', ' mim', '\xa0', 'kova']","In my experience,"
162,2.2439748748890857e-07,4.3780346459243447e-07,62518,0.0,"[79791, 65831, 47961, 47192, 117122, 112270, 90393, 96224, 40095, 43011]","['iland', '.UnitTesting', 'ALLE', '.synthetic', '樓', 'olik', 'ActivityIndicatorView', 'packing', 'uteur', 'amat']","In my experience,"
34814,1.9694779551105987e-07,4.0327824990527006e-07,65620,13.5,"[118470, 66338, 11951, 113012, 4726, 27575, 36507, 117967, 2485, 6823]","[' konkrét', '환', ' specifically', '\u202f', ' further', ' Footer', 'VERR', 'onavir', 'https', '�']","In my experience,"
63916,1.9051817950201382e-07,4.3488884671205597e-07,72069,19.125,"[3522, 22886, 20583, 17868, 11974, 17234, 43351, 41644, 34372, 65167]","['gether', 'bidden', 'theless', 'itionally', 'bsites', 'arLayout', 'stantiate', 'terior', 'tempts', 'nger']","In my experience,"
75,1.809453536326912e-07,3.7741014580205956e-07,66765,0.0,"[70806, 35402, 76027, 60375, 47789, 45032, 85142, 10399, 109598, 114346]","['_PARSE', 'anship', 'rouch', ' brow', 'rott', 'abra', ' Shutterstock', 'blank', ' بط', ' έκ']","In my experience,"
636,1.4685124894330496e-07,3.2789961323942407e-07,70816,0.0,"[18080, 45860, 82411, 63075, 114, 49693, 75435, 81130, 77827, 92472]","['tery', 'otechn', ' Sick', ""'gc"", '�', ' Ment', 'AREST', 'anter', 'qd', ' nudity']","In my experience,"
287,1.322886396959699e-07,2.959344840292033e-07,70923,2.80078125,"[118300, 52334, 33227, 46313, 40879, 20938, 119616, 62031, 86421, 86771]","[' дот', ' onBind', '-labelledby', 'umat', 'SPI', 'ibt', 'опис', 'lok', '・・・\n\n', ' Gim']","In my experience,"
44486,1.2127622619524303e-07,2.993188559230475e-07,76290,21.9375,"[86524, 124211, 37046, 111230, 81111, 121072, 757, 44404, 856, 71064]","['resher', '给我', '我', '一下', ' Mercer', 'ikler', ' me', 'NX', ' my', 'FetchRequest']","In my experience,"
184,7.167731015077021e-08,2.0680370482750732e-07,83803,0.0,"[22750, 98667, 23460, 66187, 122550, 62415, 63102, 53733, 11591, 119588]","['912', 'ucz', ' welfare', ' Welfare', ' Vak', 'IRQ', ' nackte', 'ereg', ' hel', 'χω']","In my experience,"
451,6.562163845248124e-08,1.957978099653701e-07,85271,0.0,"[118804, 105172, 24379, 118990, 81112, 51348, 17385, 17675, 101631, 27476]","['ンフ', 'ěř', ' nearest', 'indir', 'trfs', 'øy', ' migrationBuilder', 'onde', ' обла', 'onn']","In my experience,"
419,5.0453919196250923e-08,1.6682180614679964e-07,89466,0.0,"[48049, 76626, 122029, 41077, 80389, 126562, 89910, 81119, 34339, 6809]","['orgia', ' Tenn', 'chyb', 'alars', 'itoris', ' Čer', 'vero', '-valu', '\\Migrations', 'orge']","In my experience,"
25311,3.738322426067851e-08,1.9026280995149136e-07,103056,20.71875,"[46752, 28624, 115235, 4696, 1054, 126459, 109403, 108839, 12996, 40902]","[' aforementioned', ' […]', '\xa0in', ' …', ' “', ' […]\n', '\xa0s', '\xa0d', ' […]\n\n', ' fist']","In my experience,"
465,3.52824816087667e-08,1.3509642826647905e-07,94760,0.0,"[40493, 25476, 24609, 23714, 42896, 67022, 4726, 103897, 86977, 90292]","['ibi', '979', '975', 'imits', ' Fans', ' norge', ' further', '�', 'fans', ' danmark']","In my experience,"
164,3.334666734660708e-08,1.3068445525732386e-07,95529,0.0,"[28006, 13839, 106624, 126952, 21799, 75950, 86576, 33719, 45803, 8755]","['astes', ' solo', 'しく', '幹線', 'emark', 'contres', ' Controllers', 'uder', 'mits', ' fant']","In my experience,"
320,6.044184074285434e-09,5.127681390604266e-08,113138,0.0,"[88862, 96581, 27105, 80077, 49820, 57821, 63502, 78277, 46748, 37742]","['iddled', '.AddParameter', 'uran', ' Hwy', ' screenshots', 'ritz', 'jak', 'rush', 'zzo', '-------------</']","In my experience,"
306,4.184177850504339e-09,4.250997420740532e-08,115632,0.0,"[118801, 116366, 13559, 58176, 37526, 99716, 46140, 101984, 95826, 26062]","['丘', '晴', 'asse', 'luetooth', 'lique', 'ezier', 'rale', 'oleč', 'iode', '�回']","In my experience,"
31,3.291761861980985e-09,3.76617492747755e-08,117046,0.0,"[122833, 101747, 87560, 121705, 77767, 19285, 38647, 16649, 35232, 27710]","[' Karlov', 'ezi', 'buie', 'tainment', 'ruk', 'nan', 'eurs', 'nable', '/xhtml', 'keit']","In my experience,"
111275,3.258471301580592e-09,4.374369311221926e-09,32718,28.6875,"[41519, 109455, 82000, 31642, 58643, 101187, 49589, 57290, 70600, 89026]","['��', '��', '.scalablytyped', ' EXEMPLARY', ' jadx', '��', 'taboola', 'turnstile', ' STDCALL', ' TMPro']","In my experience,"
200,2.2180946966047875e-09,3.00088558446987e-08,118776,2.51953125,"[4336, 114262, 14310, 21856, 6643, 51259, 18599, 2392, 99233, 78205]","['ows', '緒', 'occ', '598', 'izontal', 'uges', 'lad', 'tes', ' Manson', 'ョ']","In my experience,"
626,1.9240938070198233e-09,2.8876266711108656e-08,119710,0.0,"[944, 34106, 19818, 108557, 25, 1981, 812, 44948, 3244, 17319]","['ern', 'orum', 'akan', ' صح', ':', '…', 'ents', ' crafts', 'ón', 'sb']","In my experience,"
5735,1.549710483026926e-09,1.0603908862094613e-08,109512,19.78125,"[23002, 126941, 126720, 84677, 63102, 76787, 97663, 63122, 27046, 38241]","[' erotische', ' bát', ' dán', ' meiden', ' nackte', ' treff', ' erotisch', ' geil', ' :)', ' aka']","In my experience,"
474,6.717272344645896e-10,1.751434197672097e-08,123337,0.0,"[942, 6147, 38448, 1251, 6901, 3725, 1752, 51028, 42770, 14744]","['son', 'ening', 'sons', 'ning', 'ened', 'fully', 'less', 'sville', ' Prec', 'sis']","In my experience,"
44823,4.651501996285747e-10,6.520033224433064e-08,127341,37.3125,"[10416, 90578, 117054, 126459, 107124, 46433, 38706, 1981, 66621, 21060]","[' […', '…\n', ' …\n', ' […]\n', 'орая', ' Â', '\tthrows', '…', ' ….', '….']","In my experience,"
